id_cliente,nombre,edad,genero,tipo_cliente,email,id_ciudad
184.0,Carlos Ramírez,52,M,recurrente,cliente184@hotmail.com,6.0
480.0,Andrés López,28,F,nuevo,cliente480@hotmail.com,2.0
135.0,Laura López,26,M,recurrente,cliente135@hotmail.com,7.0
370.0,Andrés Rodríguez,58,M,nuevo,cliente370@yahoo.es,5.0
249.0,Juan Ramírez,53,F,nuevo,cliente249@hotmail.com,2.0
363.0,Ana García,39,M,nuevo,cliente363@yahoo.es,1.0
410.0,María López,52,F,nuevo,cliente410@gmail.com,2.0
2.0,Sofía González,45,M,recurrente,cliente2@yahoo.es,7.0
121.0,Valentina López,55,M,nuevo,cliente121@gmail.com,7.0
136.0,Ana López,41,M,recurrente,cliente136@gmail.com,3.0
465.0,Pedro González,20,M,nuevo,cliente465@hotmail.com,1.0
441.0,María López,60,M,recurrente,cliente441@hotmail.com,1.0
180.0,María García,60,F,nuevo,cliente180@hotmail.com,5.0
60.0,Luis García,63,F,nuevo,cliente60@gmail.com,7.0
347.0,Pedro García,37,M,recurrente,,3.0
102.0,Carlos López,48,M,nuevo,cliente102@gmail.com,3.0
342.0,Valentina Sánchez,53,F,recurrente,cliente342@gmail.com,6.0
33.0,Laura Ramírez,44,M,recurrente,cliente33@gmail.com,7.0
371.0,Juan García,43,M,recurrente,cliente371@yahoo.es,3.0
27.0,María Rodríguez,67,M,nuevo,cliente27@gmail.com,6.0
334.0,Sofía Sánchez,70,M,recurrente,cliente334@hotmail.com,5.0
360.0,Andrés López,23,F,nuevo,cliente360@yahoo.es,5.0
170.0,Luis González,34,F,recurrente,cliente170@gmail.com,6.0
28.0,Juan Ramírez,24,M,recurrente,cliente28@yahoo.es,5.0
128.0,Valentina López,67,M,recurrente,cliente128@hotmail.com,2.0
17.0,Luis Ramírez,22,F,recurrente,cliente17@hotmail.com,4.0
456.0,Valentina González,19,M,recurrente,cliente456@gmail.com,7.0
169.0,Luis Sánchez,70,M,recurrente,cliente169@gmail.com,7.0
475.0,Sofía Rodríguez,19,M,recurrente,,5.0
283.0,María Martínez,22,M,recurrente,cliente283@hotmail.com,3.0
197.0,Carlos Pérez,65,F,recurrente,cliente197@yahoo.es,4.0
151.0,Pedro Martínez,33,M,recurrente,cliente151@hotmail.com,6.0
301.0,Luis Ramírez,37,F,recurrente,cliente301@hotmail.com,5.0
129.0,Carlos González,68,F,nuevo,cliente129@gmail.com,3.0
495.0,Andrés Pérez,23,F,recurrente,cliente495@gmail.com,4.0
210.0,Carlos García,37,F,nuevo,cliente210@gmail.com,2.0
142.0,Juan González,69,F,nuevo,cliente142@gmail.com,3.0
114.0,Sofía García,21,F,recurrente,cliente114@hotmail.com,1.0
437.0,Sofía López,44,M,recurrente,cliente437@hotmail.com,4.0
288.0,Pedro Pérez,60,F,nuevo,cliente288@yahoo.es,6.0
420.0,Carlos Martínez,35,M,recurrente,cliente420@hotmail.com,1.0
44.0,Juan García,61,M,nuevo,,1.0
29.0,Luis López,67,F,nuevo,cliente29@hotmail.com,1.0
294.0,Luis Rodríguez,43,M,recurrente,cliente294@hotmail.com,7.0
262.0,Laura Martínez,33,M,recurrente,cliente262@gmail.com,4.0
181.0,Sofía Ramírez,20,M,recurrente,cliente181@hotmail.com,2.0
225.0,Andrés Martínez,41,M,recurrente,cliente225@hotmail.com,
159.0,Valentina Rodríguez,37,M,nuevo,cliente159@hotmail.com,7.0
379.0,Valentina Martínez,56,F,recurrente,cliente379@gmail.com,1.0
348.0,Luis Sánchez,50,M,recurrente,cliente348@hotmail.com,8.0
419.0,Carlos Sánchez,21,F,recurrente,cliente419@yahoo.es,8.0
111.0,Ana González,33,M,recurrente,cliente111@gmail.com,3.0
269.0,Andrés García,42,F,nuevo,cliente269@gmail.com,6.0
94.0,Sofía García,36,F,nuevo,cliente94@gmail.com,3.0
459.0,Juan Ramírez,62,F,recurrente,cliente459@hotmail.com,7.0
446.0,Luis García,22,F,recurrente,cliente446@hotmail.com,6.0
272.0,Pedro Pérez,59,M,nuevo,,6.0
232.0,Ana Pérez,60,M,recurrente,cliente232@yahoo.es,3.0
34.0,Sofía Sánchez,67,F,recurrente,cliente34@yahoo.es,5.0
178.0,Luis López,58,M,nuevo,cliente178@hotmail.com,5.0
239.0,Sofía López,27,M,recurrente,cliente239@gmail.com,2.0
282.0,Juan Rodríguez,43,M,nuevo,cliente282@hotmail.com,5.0
432.0,Andrés Ramírez,63,M,recurrente,cliente432@hotmail.com,5.0
397.0,María García,54,M,nuevo,cliente397@gmail.com,7.0
236.0,Luis Ramírez,30,F,recurrente,cliente236@hotmail.com,6.0
149.0,Ana Pérez,46,M,recurrente,cliente149@yahoo.es,1.0
395.0,Andrés Martínez,44,F,nuevo,cliente395@hotmail.com,3.0
291.0,Luis Ramírez,59,M,recurrente,cliente291@yahoo.es,2.0
45.0,Juan Martínez,48,M,nuevo,cliente45@gmail.com,7.0
289.0,Andrés López,54,M,nuevo,cliente289@gmail.com,2.0
61.0,Andrés Martínez,64,F,recurrente,cliente61@gmail.com,3.0
345.0,Carlos Sánchez,46,F,nuevo,cliente345@yahoo.es,1.0
231.0,Andrés López,21,M,nuevo,cliente231@hotmail.com,6.0
274.0,Luis Pérez,50,F,recurrente,cliente274@hotmail.com,6.0
126.0,Luis Ramírez,64,F,recurrente,cliente126@hotmail.com,8.0
31.0,Carlos García,52,M,recurrente,cliente31@hotmail.com,8.0
492.0,Valentina López,62,F,recurrente,cliente492@hotmail.com,7.0
39.0,Juan Pérez,19,F,nuevo,cliente39@yahoo.es,5.0
489.0,Carlos González,68,F,recurrente,cliente489@hotmail.com,7.0
228.0,Ana Martínez,23,F,recurrente,cliente228@hotmail.com,6.0
293.0,Juan Martínez,35,M,recurrente,cliente293@hotmail.com,3.0
431.0,Sofía Pérez,45,M,recurrente,,7.0
185.0,María Pérez,28,M,nuevo,cliente185@gmail.com,2.0
491.0,Pedro Martínez,29,F,nuevo,cliente491@hotmail.com,8.0
326.0,Sofía González,26,F,nuevo,cliente326@hotmail.com,3.0
150.0,María González,28,F,recurrente,cliente150@yahoo.es,1.0
444.0,María Pérez,63,M,nuevo,cliente444@yahoo.es,2.0
341.0,Laura Rodríguez,68,M,recurrente,cliente341@hotmail.com,
476.0,Sofía García,45,F,recurrente,cliente476@yahoo.es,3.0
304.0,Carlos García,62,M,recurrente,cliente304@gmail.com,4.0
407.0,Pedro Rodríguez,33,F,recurrente,cliente407@yahoo.es,4.0
204.0,Pedro Sánchez,23,M,recurrente,,5.0
474.0,Sofía García,37,F,nuevo,cliente474@gmail.com,7.0
365.0,Sofía Pérez,21,F,recurrente,cliente365@yahoo.es,2.0
380.0,Laura López,44,M,nuevo,cliente380@hotmail.com,7.0
402.0,Sofía Pérez,55,F,nuevo,cliente402@gmail.com,5.0
73.0,Carlos López,51,F,nuevo,cliente73@yahoo.es,5.0
104.0,Juan Rodríguez,28,F,nuevo,cliente104@hotmail.com,3.0
496.0,Andrés García,61,M,recurrente,cliente496@hotmail.com,6.0
332.0,Pedro Ramírez,21,M,recurrente,cliente332@hotmail.com,5.0
416.0,Sofía Pérez,67,M,nuevo,cliente416@gmail.com,5.0
415.0,Juan Ramírez,20,M,recurrente,cliente415@gmail.com,8.0
192.0,Laura González,38,F,nuevo,cliente192@gmail.com,7.0
253.0,Andrés Sánchez,24,F,recurrente,cliente253@yahoo.es,7.0
221.0,Valentina Sánchez,28,M,nuevo,,3.0
268.0,Pedro Martínez,27,M,nuevo,cliente268@yahoo.es,7.0
244.0,Laura García,39,M,recurrente,cliente244@hotmail.com,5.0
141.0,Laura Ramírez,34,F,recurrente,cliente141@hotmail.com,7.0
93.0,Sofía Martínez,65,M,nuevo,cliente93@yahoo.es,5.0
242.0,Pedro González,44,M,nuevo,cliente242@gmail.com,4.0
392.0,Sofía Rodríguez,26,M,nuevo,cliente392@hotmail.com,999.0
258.0,Ana García,37,M,nuevo,cliente258@hotmail.com,5.0
71.0,Andrés Rodríguez,36,M,nuevo,,7.0
428.0,Ana Rodríguez,64,M,nuevo,cliente428@hotmail.com,8.0
329.0,Andrés García,18,F,nuevo,cliente329@yahoo.es,7.0
162.0,Sofía García,24,F,nuevo,cliente162@hotmail.com,2.0
389.0,Laura Pérez,58,M,nuevo,cliente389@yahoo.es,4.0
213.0,Sofía Ramírez,60,M,nuevo,cliente213@yahoo.es,1.0
497.0,Juan Martínez,44,M,recurrente,cliente497@yahoo.es,5.0
214.0,Carlos Rodríguez,19,F,recurrente,cliente214@gmail.com,5.0
196.0,Laura García,18,M,recurrente,cliente196@gmail.com,7.0
50.0,Ana López,60,F,nuevo,cliente50@yahoo.es,3.0
152.0,Juan González,61,M,recurrente,,
95.0,María Rodríguez,29,M,recurrente,cliente95@gmail.com,4.0
316.0,Valentina Pérez,69,M,nuevo,cliente316@hotmail.com,5.0
424.0,Luis Rodríguez,64,M,nuevo,cliente424@gmail.com,3.0
6.0,Andrés Martínez,46,F,nuevo,cliente6@gmail.com,4.0
333.0,Andrés González,65,M,nuevo,cliente333@yahoo.es,6.0
109.0,Juan Pérez,56,M,nuevo,cliente109@yahoo.es,3.0
