id_vendedor,nombre,experiencia_anios,id_sucursal
25.0,Luis Ramírez,11.0,10
42.0,Sofía Sánchez,14.0,3
47.0,Ana González,10.0,15
24.0,Luis López,1.0,11
15.0,Ana Pérez,0.0,15
28.0,Pedro Ramírez,1.0,4
11.0,Pedro Ramírez,15.0,18
34.0,Juan García,2.0,2
49.0,Ana García,14.0,5
39.0,María Pérez,6.0,4
36.0,Juan Sánchez,4.0,5
7.0,Camila Sánchez,11.0,9
27.0,Laura Sánchez,9.0,4
33.0,Camila Pérez,2.0,16
12.0,Diego Ramírez,1.0,1
21.0,Diego Rodríguez,4.0,10
43.0,Camila Pérez,15.0,8
19.0,María Pérez,5.0,17
37.0,Carlos Martínez,4.0,3
30.0,Luis Sánchez,8.0,10
32.0,Ana Ramírez,11.0,9
13.0,Diego Pérez,15.0,18
17.0,Carlos Ramírez,9.0,8
48.0,Sofía González,7.0,9
14.0,Camila López,7.0,5
8.0,Ana Ramírez,14.0,2
6.0,Pedro Rodríguez,11.0,16
29.0,Ana Pérez,2.0,11
23.0,Diego Pérez,5.0,4
3.0,Camila Martínez,14.0,12
999.0,Camila González,15.0,9
4.0,Camila López,11.0,13
50.0,Camila López,1.0,1
9.0,Diego López,10.0,20
18.0,Carlos Martínez,13.0,5
45.0,Camila López,12.0,7
10.0,María López,8.0,6
16.0,Laura Sánchez,8.0,11
5.0,Sofía Ramírez,12.0,9
26.0,Sofía Martínez,11.0,17
20.0,María Sánchez,2.0,6
2.0,Luis López,6.0,3
41.0,Ana González,13.0,5
31.0,Laura Sánchez,4.0,2
1.0,Camila Sánchez,1.0,10
46.0,María Ramírez,11.0,2
44.0,Carlos González,13.0,16
35.0,Laura Rodríguez,11.0,12
38.0,María López,8.0,5
22.0,Laura Ramírez,15.0,19
40.0,Sofía García,3.0,7
