id_vendedor,nombre,experiencia_años,id_sucursal
1.0,natalia niniez,17,15
2.0,patricia ospina,19,5
3.0,patricia ramirez,9,27
4.0,patricia dominguez,13,27
5.0,benjamin sanchez,14,10
6.0,patricia dominguez,22,33
7.0,alejandro penia,1,32
8.0,paola dominguez,0,7
9.0,diego garcia,7,6
10.0,raul martinez,0,9
11.0,alejandro fernandez,0,21
12.0,alejandro herrera,0,24
13.0,andres espania,19,7
14.0,diego dominguez,15,12
15.0,sebastian rodriguez,1,25
16.0,diego cardenas,0,16
17.0,julian espania,9,19
18.0,mauricio garcia,22,24
19.0,angela ospina,13,11
20.0,alvaro munioz,4,7
21.0,laura rios,24,21
22.0,benjamin rios,14,24
23.0,paola gonzalez,23,13
24.0,valentina moreno,2,14
25.0,angela munioz,14,29
26.0,sebastian lopez,25,7
27.0,benjamin espana,9,9
28.0,raul moreno,23,3
29.0,maria perez,0,34
30.0,raul lopez,10,33
31.0,valentina rios,18,19
32.0,jose herrera,22,7
33.0,alvaro fernandez,9,3
34.0,hernan moreno,0,12
35.0,alejandro lopez,23,22
36.0,julian ramirez,11,16
37.0,veronica martinez,18,17
38.0,valentina alvarez,9,8
39.0,daniela moreno,11,23
40.0,valentina rodriguez,9,6
41.0,diego niniez,1,11
42.0,julian alvarez,9,2
43.0,patricia alvarez,15,5
44.0,sebastian vargas,22,13
45.0,felipe ospina,7,23
46.0,jesus garcia,12,23
47.0,monica gonzalez,17,35
48.0,hernan dominguez,2,25
49.0,camilo ninez,1,34
50.0,paola herrera,9,24
51.0,claudia gutierrez,24,9
52.0,diego martinez,0,25
53.0,angela rodriguez,20,28
54.0,paola dominguez,14,32
55.0,laura fernandez,3,12
56.0,diego garcia,4,6
57.0,veronica cruz,0,18
58.0,diego vargas,9,8
59.0,hernan cifuentes,13,8
60.0,ricardo gonzalez,0,3
61.0,sofia munioz,18,8
62.0,mauricio herrera,19,14
63.0,ricardo penia,4,19
64.0,jesus ramirez,2,17
65.0,maria ninez,4,5
66.0,jesus lopez,0,4
67.0,jesus dominguez,11,18
68.0,jose cardenas,0,17
69.0,carolina garcia,1,35
70.0,julian lopez,9,16
71.0,daniela munioz,7,27
72.0,sebastian alvarez,1,5
73.0,natalia rios,7,4
74.0,hernan alvarez,11,2
75.0,mauricio pena,1,26
76.0,jose lopez,7,20
77.0,monica moreno,0,34
78.0,monica cifuentes,7,14
79.0,angela gonzalez,24,23
80.0,valentina ninez,25,32
81.0,alvaro martinez,23,10
82.0,laura cifuentes,22,32
83.0,felipe rodriguez,3,28
84.0,julian castano,14,28
85.0,jose munioz,17,21
86.0,alvaro espana,20,23
87.0,julian garcia,11,4
88.0,veronica castano,12,30
89.0,benjamin dominguez,25,28
90.0,daniela pena,6,15
91.0,claudia castano,0,2
92.0,hernan herrera,13,26
93.0,raul ramirez,0,28
94.0,carolina ospina,10,21
95.0,laura fernandez,14,29
96.0,raul perez,8,9
97.0,benjamin garcia,16,8
98.0,veronica dominguez,3,35
99.0,hernan martinez,8,19
100.0,mauricio fernandez,16,14
