id_cliente,nombre,tipo_cliente,edad,genero,ultima_compra,frecuencia,valor_monetario,ticket_promedio,vehiculos_comprados,recency,r_score,f_score,m_score,rfm_score,segmento
1,maria rodriguez penia,recurrente,57,F,,4,143143.0,35785.75,4,999.0,5,4,3,12,Leales
2,veronica vargas perez,empresarial,36,M,,2,147333.0,73666.5,2,999.0,5,2,3,10,Leales
3,valentina castano castanio,recurrente,61,M,2023-11-28,2,80311.0,40155.5,2,834.0,5,2,2,9,Prometedores
5,diego dominguez gonzalez,potencial,52,F,,1,18091.0,18091.0,1,999.0,5,1,1,7,Prometedores
6,benjamin fernandez alvarez,nuevo,38,F,,4,136116.0,45372.0,4,999.0,5,4,3,12,Leales
7,laura fernandez vargas,vip,61,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
8,natalia gutierrez dominguez,vip,72,F,2022-07-10,1,1000.0,1000.0,1,1340.0,1,1,1,3,En riesgo
9,hernan moreno dominguez,potencial,86,F,,3,76175.0,25391.666666666668,3,999.0,5,3,2,10,Leales
10,patricia moreno herrera,recurrente,70,M,,2,2000.0,1000.0,2,999.0,5,2,1,8,Prometedores
11,natalia ramirez castano,nuevo,54,F,,3,97553.0,32517.666666666668,3,999.0,5,3,3,11,Leales
12,jesus toro cruz,nuevo,34,M,,2,65403.0,32701.5,2,999.0,5,2,2,9,Prometedores
13,mauricio garcia ninez,empresarial,40,M,2023-01-15,1,36286.0,36286.0,1,1151.0,1,1,2,4,Potenciales
14,paola dominguez rodriguez,empresarial,29,F,,4,449778.0,112444.5,4,999.0,5,4,5,14,Campeones
15,jose lopez penia,empresarial,77,F,2024-10-02,4,155397.0,38849.25,4,525.0,5,5,4,14,Campeones
16,alvaro ramirez cardenas,empresarial,74,F,2022-04-22,1,48866.0,48866.0,1,1419.0,1,1,2,4,Potenciales
17,natalia sanchez garcia,empresarial,44,M,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
18,paola moreno perez,nuevo,60,M,2023-03-06,4,147895.0,36973.75,4,1101.0,1,5,3,9,Prometedores
19,jose dominguez cifuentes,nuevo,67,M,,3,228262.0,76087.33333333333,3,999.0,5,3,5,13,Campeones
20,maria cifuentes fernandez,vip,74,M,2023-08-22,1,40880.0,40880.0,1,932.0,5,1,2,8,Prometedores
21,diego gutierrez ospina,recurrente,19,F,,1,41613.0,41613.0,1,999.0,5,1,2,8,Prometedores
22,veronica toro espania,nuevo,100,F,,3,375378.0,125126.0,3,999.0,5,3,5,13,Campeones
23,patricia dominguez rodriguez,nuevo,68,F,,3,241370.0,80456.66666666667,3,999.0,5,3,5,13,Campeones
24,jesus fernandez espana,vip,41,F,,1,25439.0,25439.0,1,999.0,5,1,1,7,Prometedores
25,monica garcia ramirez,potencial,38,M,2023-07-27,5,87106.0,17421.2,5,958.0,5,5,2,12,Leales
26,sebastian sanchez espana,potencial,23,F,,4,251091.0,62772.75,4,999.0,5,5,5,15,Campeones
27,alejandro pena toro,empresarial,18,F,2023-08-31,5,386177.0,77235.4,5,923.0,5,5,5,15,Campeones
28,jose cruz ospina,vip,69,M,,0,0.0,,0,999.0,5,1,1,7,Prometedores
29,mauricio herrera cifuentes,nuevo,75,F,,1,37078.0,37078.0,1,999.0,5,1,2,8,Prometedores
30,sofia fernandez penia,recurrente,22,F,,3,237205.0,79068.33333333333,3,999.0,5,3,5,13,Campeones
31,ricardo sanchez garcia,empresarial,80,F,,2,287126.0,143563.0,2,999.0,5,2,5,12,Leales
32,camilo vargas vargas,potencial,37,M,,1,72892.0,72892.0,1,999.0,5,1,2,8,Prometedores
33,julian cifuentes cruz,recurrente,30,F,,1,57107.0,57107.0,1,999.0,5,1,2,8,Prometedores
34,camilo garcia herrera,empresarial,62,M,2021-06-17,3,180343.0,60114.333333333336,3,1728.0,1,3,4,8,Prometedores
35,daniela herrera martinez,potencial,100,M,,3,118206.0,39402.0,3,999.0,5,3,3,11,Leales
36,valentina espana alvarez,nuevo,44,M,2020-04-27,3,122243.0,40747.666666666664,3,2144.0,1,3,3,7,Prometedores
37,patricia castano cruz,nuevo,19,F,,2,117028.0,58514.0,2,999.0,5,2,3,10,Leales
38,julian fernandez alvarez,potencial,35,M,,0,0.0,,0,999.0,5,1,1,7,Prometedores
39,valentina cruz castano,empresarial,36,M,,2,74694.0,37347.0,2,999.0,5,2,2,9,Prometedores
40,paola ospina munioz,recurrente,31,F,,0,0.0,,0,999.0,5,1,1,7,Prometedores
41,alejandro cruz toro,vip,63,F,,2,103341.0,51670.5,2,999.0,5,2,3,10,Leales
42,jose sanchez cardenas,nuevo,77,F,,0,0.0,,0,999.0,5,1,1,7,Prometedores
43,natalia cardenas cifuentes,recurrente,57,F,2020-11-21,7,547157.0,78165.28571428571,7,1936.0,1,5,5,11,Leales
44,jesus moreno toro,recurrente,59,F,,1,38377.0,38377.0,1,999.0,5,1,2,8,Prometedores
45,natalia cruz rodriguez,recurrente,44,M,,5,318073.0,63614.6,5,999.0,5,5,5,15,Campeones
46,natalia rodriguez martinez,nuevo,19,M,,1,72747.0,72747.0,1,999.0,5,1,2,8,Prometedores
47,raul munoz perez,potencial,48,M,2024-06-16,2,2000.0,1000.0,2,633.0,5,2,1,8,Prometedores
48,paola toro cifuentes,vip,98,M,,3,178272.0,59424.0,3,999.0,5,4,4,13,Campeones
49,valentina fernandez fernandez,nuevo,63,F,,1,104601.0,104601.0,1,999.0,5,1,3,9,Prometedores
50,angela martinez toro,vip,57,F,2020-08-02,4,80128.0,20032.0,4,2047.0,1,5,2,8,Prometedores
51,carolina rodriguez cardenas,nuevo,69,F,,1,137999.0,137999.0,1,999.0,5,1,3,9,Prometedores
52,jesus garcia toro,potencial,37,F,,6,370858.0,61809.666666666664,6,999.0,5,5,5,15,Campeones
53,sebastian ospina castano,recurrente,68,M,,5,377371.0,75474.2,5,999.0,5,5,5,15,Campeones
54,paola lopez pena,vip,20,F,,1,137461.0,137461.0,1,999.0,5,1,3,9,Prometedores
55,paola fernandez ramirez,nuevo,63,M,,0,0.0,,0,999.0,5,1,1,7,Prometedores
56,alejandro rodriguez niniez,empresarial,47,M,,3,242694.0,80898.0,3,999.0,5,4,5,14,Campeones
57,angela moreno sanchez,nuevo,25,M,,4,114236.0,28559.0,4,999.0,5,5,3,13,Campeones
58,ricardo ramirez cruz,empresarial,30,F,,7,793135.0,113305.0,7,999.0,5,5,5,15,Campeones
59,julian toro garcia,nuevo,58,M,2021-12-25,2,75295.0,37647.5,2,1537.0,1,2,2,5,Potenciales
60,daniela ramirez gonzalez,nuevo,27,F,,1,1000.0,1000.0,1,999.0,5,1,1,7,Prometedores
61,alejandro fernandez rios,vip,47,M,,1,57661.0,57661.0,1,999.0,5,1,2,8,Prometedores
62,carolina pena moreno,empresarial,52,F,,1,55055.0,55055.0,1,999.0,5,1,2,8,Prometedores
63,ricardo martinez gonzalez,potencial,30,M,2020-06-14,1,1000.0,1000.0,1,2096.0,1,1,1,3,En riesgo
64,sofia ospina garcia,vip,40,F,,1,33162.0,33162.0,1,999.0,5,1,2,8,Prometedores
65,jose ramirez castanio,nuevo,73,M,,5,222596.0,44519.2,5,999.0,5,5,5,15,Campeones
66,alejandro lopez cifuentes,recurrente,43,M,,4,123152.0,30788.0,4,999.0,5,5,3,13,Campeones
67,andres gutierrez castanio,nuevo,30,F,,4,66767.0,22255.666666666668,4,999.0,5,5,2,12,Leales
68,raul rios castano,recurrente,57,M,,0,0.0,,0,999.0,5,1,1,7,Prometedores
69,sebastian cifuentes martinez,nuevo,64,F,,3,324364.0,108121.33333333333,3,999.0,5,4,5,14,Campeones
71,alvaro fernandez rodriguez,potencial,34,F,,1,94069.0,94069.0,1,999.0,5,1,3,9,Prometedores
72,felipe cruz moreno,vip,47,M,,5,276490.0,55298.0,5,999.0,5,5,5,15,Campeones
73,natalia castanio gonzalez,empresarial,71,F,2024-07-03,2,138718.0,69359.0,2,616.0,5,2,3,10,Leales
74,valentina gutierrez castanio,vip,71,F,,6,552283.0,92047.16666666667,6,999.0,5,5,5,15,Campeones
75,monica toro castanio,nuevo,46,F,,2,190205.0,95102.5,2,999.0,5,2,4,11,Leales
