id_vendedor,nombre_vendedor,experiencia_anios,sucursal,ventas_realizadas,ingresos_generados,ticket_promedio,comision_total,clientes_atendidos
8.0,Verónica Domínguez,10.0,Sucursal Sur,12,876281.0,73023.41666666667,0,12
37.0,Julián Rodríguez,7.0,Sucursal Sur,11,873153.0,79377.54545454546,0,11
14.0,Mónica Álvarez,4.0,Sucursal Sur,10,837970.0,83797.0,0,10
42.0,Inés Peña,12.0,Sucursal Sur,11,807905.0,73445.90909090909,0,11
57.0,Raúl Pérez,3.0,Sucursal Sur,12,803869.0,66989.08333333333,0,12
30.0,Raúl García,1.0,Sucursal Sur,10,741222.0,74122.2,0,10
73.0,Noelia Domínguez,16.0,Sucursal Sur,9,694527.0,77169.66666666667,0,8
79.0,Benjamín Peña,10.0,Sucursal Centro,9,684199.0,76022.11111111111,0,9
28.0,Inés Niñez,19.0,Sucursal Sur,11,676872.0,61533.818181818184,0,11
21.0,Jesús Domínguez,4.0,Sucursal Sur,8,667344.0,83418.0,0,8
69.0,José España,12.0,Sucursal Sur,6,648304.0,108050.66666666667,0,6
50.0,Noelia García,8.0,Sucursal Sur,9,640489.0,71165.44444444444,0,9
46.0,Gabriela López,20.0,Sucursal Calle 80,8,635358.0,79419.75,0,8
79.0,Benjamín Peña,10.0,Sucursal Sur,9,619154.0,68794.88888888889,0,9
2.0,Álvaro Niñez,13.0,Sucursal Autopista,6,616755.0,102792.5,0,6
66.0,Estefanía García,13.0,Sucursal Sur,7,609844.0,87120.57142857143,0,7
80.0,Estefanía Peña,2.0,Sucursal Sur,8,608963.0,76120.375,0,8
7.0,Mónica Rodríguez,4.0,Sucursal Centro,7,597143.0,85306.14285714286,0,7
45.0,Patricio Niñez,13.0,Sucursal Sur,7,584302.0,83471.71428571429,0,7
67.0,Sofía Niñez,12.0,Sucursal Sur,7,578174.0,82596.28571428571,0,7
41.0,Bárbara Fernández,8.0,Sucursal Sur,9,575378.0,63930.88888888889,0,9
61.0,Bárbara Fernández,4.0,Sucursal Sur,6,563461.0,93910.16666666667,0,6
32.0,Bárbara Rodríguez,1.0,Sucursal Sur,7,561276.0,80182.28571428571,0,7
40.0,Jesús Domínguez,6.0,Sucursal Sur,7,559750.0,79964.28571428571,0,7
26.0,Verónica López,4.0,Sucursal Autopista,6,557976.0,92996.0,0,6
24.0,Álvaro Álvarez,5.0,Sucursal Autopista,8,551666.0,68958.25,0,8
6.0,María Domínguez,9.0,Sucursal Sur,7,551605.0,78800.71428571429,0,7
1.0,Julián López,6.0,Sucursal Centro,8,551199.0,68899.875,0,7
60.0,Inés Castaño,2.0,Sucursal Sur,7,549736.0,78533.71428571429,0,7
4.0,Noelia Rodríguez,9.0,Sucursal Calle 80,6,547871.0,91311.83333333333,0,6
6.0,María Domínguez,9.0,Sucursal Centro,6,528664.0,88110.66666666667,0,6
53.0,Noelia López,12.0,Sucursal Autopista,8,528596.0,66074.5,0,8
19.0,Benjamín Fernández,19.0,Sucursal Sur,8,526974.0,65871.75,0,8
40.0,Jesús Domínguez,6.0,Sucursal Autopista,6,519213.0,86535.5,0,6
64.0,Julián Martínez,3.0,Sucursal Sur,6,517280.0,86213.33333333333,0,6
77.0,Mónica Domínguez,0.0,Sucursal Autopista,6,517215.0,86202.5,0,6
45.0,Patricio Niñez,13.0,Sucursal Occidente,8,511943.0,63992.875,0,8
49.0,Julián Castaño,12.0,Sucursal Autopista,6,499730.0,83288.33333333333,0,6
24.0,Álvaro Álvarez,5.0,Sucursal Sur,6,499214.0,83202.33333333333,0,6
43.0,Mónica Castaño,2.0,Sucursal Sur,7,498853.0,71264.71428571429,0,7
5.0,Gabriela García,5.0,Sucursal Sur,6,497866.0,82977.66666666667,0,6
49.0,Julián Castaño,12.0,Sucursal Sur,7,495992.0,70856.0,0,7
26.0,Verónica López,4.0,Sucursal Sur,8,492140.0,61517.5,0,8
2.0,Álvaro Niñez,13.0,Sucursal Sur,6,491851.0,81975.16666666667,0,6
20.0,Raúl González,7.0,Sucursal Centro,7,487004.0,69572.0,0,7
44.0,Mónica Peña,15.0,Sucursal Occidente,5,486356.0,97271.2,0,5
13.0,Bárbara Martínez,18.0,Sucursal Autopista,6,482629.0,80438.16666666667,0,6
12.0,Verónica Peña,3.0,Sucursal Sur,7,482313.0,68901.85714285714,0,7
45.0,Patricio Niñez,13.0,Sucursal Calle 80,7,480209.0,68601.28571428571,0,7
16.0,Noelia Niñez,16.0,Sucursal Sur,5,479867.0,95973.4,0,5
75.0,Raúl Martínez,8.0,Sucursal Sur,6,474204.0,79034.0,0,6
56.0,Benjamín Pérez,0.0,Sucursal Sur,5,468999.0,93799.8,0,5
71.0,José Muñoz,14.0,Sucursal Sur,8,465182.0,58147.75,0,8
