id_vendedor,nombre_vendedor,experiencia,sucursal,ventas_realizadas,ingresos_generados,ticket_promedio,comision_total,clientes_atendidos
418,hernan espania,20,sucursal centro,3,381673.0,127224.33333333333,5931.79,3
361,maria martinez,19,sucursal occidente,3,319811.0,106603.66666666667,6800.820000000001,3
122,natalia cruz,20,sucursal autopista,3,313189.0,104396.33333333333,3409.56,3
259,patricia vargas,13,sucursal aeropuerto,2,277584.0,138792.0,4463.83,2
176,camilo sanchez,0,sucursal occidente,3,271134.0,90378.0,5706.05,3
255,natalia alvarez,6,sucursal oriente,2,268281.0,134140.5,2796.29,2
229,ricardo toro,16,sucursal calle 80,2,265820.0,132910.0,2627.69,2
279,natalia rodriguez,0,sucursal sur,3,262895.0,87631.66666666667,4905.65,3
358,benjamin munoz,7,sucursal sur,2,256826.0,128413.0,5382.72,2
21,jesus vargas,19,sucursal occidente,3,255536.0,85178.66666666667,1979.72,3
276,valentina cifuentes,24,sucursal centro,2,253792.0,126896.0,4994.4400000000005,2
26,veronica moreno,7,sucursal autopista,2,251279.0,125639.5,5516.0,2
108,monica ramirez,11,sucursal autopista,2,250784.0,125392.0,6349.76,2
394,diego vargas,3,sucursal principal,2,240115.0,120057.5,5310.62,2
296,julian herrera,5,sucursal calle 80,2,235570.0,117785.0,1271.85,2
81,carolina martinez,1,sucursal calle 80,2,232632.0,116316.0,6997.85,2
339,carolina munoz,13,sucursal sur,2,226171.0,113085.5,2845.4300000000003,2
404,claudia munioz,22,sucursal principal,2,224550.0,112275.0,2452.64,2
107,camilo ospina,2,sucursal carrera 7,2,224495.0,112247.5,2935.25,2
5,angela perez,16,sucursal sur,3,223883.0,74627.66666666667,2776.52,3
346,felipe lopez,16,sucursal norte,2,223390.0,111695.0,4878.85,2
52,jose toro,9,sucursal industrial,2,222781.0,111390.5,2472.2,2
463,claudia rodriguez,6,sucursal sur,2,221957.0,110978.5,6241.32,2
132,maria ramirez,7,sucursal principal,2,219988.0,109994.0,5161.860000000001,2
433,sofia martinez,0,sucursal principal,2,217377.0,108688.5,940.44,2
80,paola gonzalez,19,sucursal occidente,2,212400.0,106200.0,3564.88,2
158,monica toro,13,sucursal norte,2,207656.0,103828.0,6593.47,2
443,veronica cardenas,17,sucursal aeropuerto,2,207639.0,103819.5,980.84,2
521,angela ospina,11,sucursal principal,2,207422.0,103711.0,4070.9300000000003,2
576,maria rios,16,sucursal calle 80,2,206721.0,103360.5,2518.6,2
4,valentina moreno,8,sucursal occidente,2,205472.0,102736.0,2438.84,2
301,andres ninez,9,sucursal sur,2,205151.0,102575.5,6909.4,2
134,sebastian dominguez,3,sucursal carrera 7,4,202563.0,50640.75,4837.03,4
52,jose toro,9,sucursal sur,2,202202.0,101101.0,1913.42,2
224,ricardo martinez,25,sucursal autopista,2,199864.0,99932.0,3599.66,2
403,diego sanchez,5,sucursal industrial,2,199674.0,99837.0,5635.62,2
